USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_spotlight         859   0.0  0.0  4407100   5972   ??  S     1:46PM   0:00.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
khoahung           843   0.0  0.0  4430624   5904   ??  S     1:46PM   0:00.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
root               813   0.0  0.0  4426164   7084   ??  Ss    1:46PM   0:00.09 /usr/libexec/dprivacyd
khoahung           811   0.0  0.1  4904036  15316   ??  Ss    1:46PM   0:00.25 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
khoahung           797   0.0  0.1  4434284  12456   ??  S     1:46PM   0:00.28 /usr/libexec/adprivacyd
khoahung           792   0.0  0.1  4435416  12448   ??  Ss    1:46PM   0:00.14 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper
khoahung           791   0.0  0.0  4399832   2512   ??  S     1:46PM   0:00.02 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
root               789   0.0  0.0  4429444   6068   ??  Ss    1:46PM   0:00.24 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CAReportingService.xpc/Contents/MacOS/CAReportingService
khoahung           787   0.0  0.1  4443156   9708   ??  Ss    1:46PM   0:00.09 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
khoahung           785   0.0  0.0  4415176   6060   ??  Ss    1:46PM   0:00.12 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
khoahung           784   0.0  0.0  4375200   4320   ??  S     1:46PM   0:00.06 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
root               780   0.0  0.0  4375152   1312   ??  Ss    1:46PM   0:00.01 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCServices/com.apple.cmio.registerassistantservice.xpc/Contents/MacOS/com.apple.cmio.registerassistantservice
root               779   0.0  0.0  4431020   4440   ??  S     1:46PM   0:00.06 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
khoahung           771   0.0  0.1  4433608   9056   ??  S     1:46PM   0:00.07 /usr/libexec/keyboardservicesd
khoahung           770   0.0  0.2  4502396  30568   ??  S     1:46PM   0:00.74 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
root               766   0.0  0.0  4399428   1996   ??  Ss    1:46PM   0:00.25 /usr/libexec/sysmond
_fpsd              765   0.0  0.0  4364716   3972   ??  Ss    1:46PM   0:00.04 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
khoahung           758   0.0  0.0  4438868   7652   ??  Ss    1:45PM   0:00.06 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
_cmiodalassistants   757   0.0  0.0  4368000   2428   ??  Ss    1:45PM   0:00.02 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/AppleCamera.plugin/Contents/Resources/AppleCameraAssistant
khoahung           756   0.0  0.0  4310232   1944   ??  S     1:45PM   0:00.03 /usr/bin/ssh-agent -l
root               755   0.0  0.0  4391632   4032   ??  Ss    1:45PM   0:00.02 /usr/libexec/morphunassetsupdaterd
root               751   0.0  0.0  4430780   6444   ??  Ss    1:45PM   0:00.08 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
_datadetectors     743   0.0  0.0  4398892   2296   ??  Ss    1:45PM   0:00.06 /usr/libexec/DataDetectorsSourceAccess
khoahung           737   0.0  0.1  4466964  19464   ??  S     1:45PM   0:00.36 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPLibraryAgent --launchd
khoahung           727   0.0  0.1  4451172  18996   ??  Ss    1:45PM   0:00.28 /Applications/Dropbox.app/Contents/PlugIns/garcon.appex/Contents/MacOS/garcon
khoahung           726   0.0  0.0  4382364   1868   ??  Ss    1:45PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
khoahung           725   0.0  0.1  4901832  11188   ??  Ss    1:45PM   0:00.06 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
khoahung           724   0.0  0.2  5105628  33528   ??  Ss    1:45PM   0:00.79 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
khoahung           722   0.0  0.0  4405168   7280   ??  Ss    1:45PM   0:00.17 /System/Library/Frameworks/ImageIO.framework/Versions/A/XPCServices/ImageIOXPCService.xpc/Contents/MacOS/ImageIOXPCService
_applepay          720   0.0  0.0  4422248   4624   ??  Ss    1:45PM   0:00.08 /usr/libexec/nfcd
khoahung           718   0.0  0.1  4440900  17380   ??  S     1:45PM   0:00.62 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
_spotlight         717   0.0  0.1  4432088   8832   ??  S     1:45PM   0:00.38 /usr/libexec/trustd --agent
khoahung           716   0.0  0.1  4901792  10476   ??  S     1:45PM   0:00.07 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimulatorTrampoline.xpc/Contents/MacOS/SimulatorTrampoline
khoahung           715   0.0  0.0  4375908   2908   ??  S     1:45PM   0:00.04 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimLaunchHost.x86.xpc/Contents/MacOS/SimLaunchHost.x86
khoahung           714   0.0  0.1  4904824  14516   ??  S     1:45PM   0:00.71 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/com.apple.CoreSimulator.CoreSimulatorService.xpc/Contents/MacOS/com.apple.CoreSimulator.CoreSimulatorService
khoahung           713   0.0  0.0  4399372   5420   ??  S     1:45PM   0:00.14 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/webinspectord
khoahung           712   0.0  0.1  4448144  21652   ??  S     1:45PM   0:01.80 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
khoahung           711   0.0  0.1  4429388   8552   ??  S     1:45PM   0:00.92 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariCloudHistoryPushAgent
khoahung           710   0.0  0.1  4903920  17432   ??  Ss    1:45PM   0:00.15 /Applications/Safari.app/Contents/XPCServices/com.apple.Safari.SandboxBroker.xpc/Contents/MacOS/com.apple.Safari.SandboxBroker
khoahung           709   0.0  0.1  4429672  11856   ??  S     1:45PM   0:00.11 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariNotificationAgent
khoahung           708   0.0  0.1  4430196  11492   ??  S     1:45PM   0:00.10 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariLaunchAgent
khoahung           707   0.0  0.1  4457376  14628   ??  S     1:45PM   0:00.26 /System/Library/PrivateFrameworks/Translation.framework/translationd
khoahung           706   0.0  0.1  4433852  18560   ??  S     1:45PM   0:01.32 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
root               704   0.0  0.0  4373864   1904   ??  Ss    1:45PM   0:00.04 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
_spotlight         703   0.0  0.0  4435704   5468   ??  S     1:45PM   0:00.06 /usr/libexec/pkd
khoahung           702   0.0  0.3  4519716  48116   ??  Ss    1:45PM   0:34.51 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
khoahung           700   0.0  0.1  4439656  14648   ??  SN    1:45PM   0:01.83 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
_spotlight         699   0.0  0.1  4438688  14220   ??  SN    1:45PM   0:01.74 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
khoahung           698   0.0  0.1  4439340  16348   ??  S     1:45PM   0:00.33 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.History.xpc/Contents/MacOS/com.apple.Safari.History
khoahung           697   0.0  0.7  6432924 117508   ??  S     1:45PM   1:10.60 /Applications/Safari.app/Contents/MacOS/Safari
_www               690   0.0  0.0  4317872    832   ??  S     1:45PM   0:00.00 /usr/sbin/httpd -D FOREGROUND
root               677   0.0  0.1  4431604   9380   ??  Ss    1:45PM   0:00.18 /usr/libexec/rtcreportingd
khoahung           670   0.0  0.1  4430748  10276   ??  Ss    1:45PM   0:00.11 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/com.apple.siri.ClientFlow.ClientScripter.xpc/Contents/MacOS/com.apple.siri.ClientFlow.ClientScripter
khoahung           669   0.0  0.1  5048360  24332   ??  S     1:45PM   0:00.63 docker serve --address unix:///Users/khoahung/.docker/run/docker-cli-api.sock
khoahung           668   0.0  0.1  5165420  24104   ??  S     1:45PM   0:03.32 com.docker.driver.amd64-linux -addr fd:3 -debug
khoahung           667   0.0  0.1  4999420  12200   ??  S     1:45PM   0:11.61 vpnkit-bridge --addr listen://1999 host
